"i","j","id","sc","bx1","bx2","bx3","year","eventid","x1","x2","x3","x4","error","y","ratio","y_mean","x1_mean","x2_mean","x3_mean","x4_mean","y_within","x1_within","x2_within","x3_within","x4_within"
1,1,1,1.01685340540722,1.01466369628906,1.03333333333333,1.5,1,1,0.00854963458484926,0.0479058023617097,0.547282433454054,0.262104138934731,0.210060712541939,2.10601543440046,2.07111017497852,2.1103698176105,0.463711062389533,0.289478056459458,0.288387155769361,-0.0726216820035746,-0.00435438321004122,-0.455161427804684,-0.241572254097748,0.258895277684694,0.334725820938306
1,1,1,1.01685340540722,1.01466369628906,1.03333333333333,1.5,2,901,0.441927931303549,-0.0351030788584735,0.227604700507917,0.101902272109624,-0.262773581973471,1.50762192097838,1.48263448099937,2.1103698176105,0.463711062389533,0.289478056459458,0.288387155769361,-0.0726216820035746,-0.602747896632126,-0.0217831310859839,-0.324581135317931,-0.0607824552614435,0.174523954113199
1,1,1,1.01685340540722,1.01466369628906,1.03333333333333,1.5,3,1801,0.940655621280201,0.855631445875137,0.0902743333461103,-0.581871457055079,-0.273394411667947,2.71747209745267,2.6724325089558,2.1103698176105,0.463711062389533,0.289478056459458,0.288387155769361,-0.0726216820035746,0.607102279842167,0.476944558890668,0.56615338941568,-0.19811282242325,-0.509249775051504
1,2,2,2.06817317241739,1.02838134765625,1.05,1.5,1,2,0.523608721419608,-0.0358247489177147,0.29363204582739,-0.305540382061053,-0.457848541714547,2.55162615565839,1.23375846359902,2.89052450039494,0.309776806743834,0.402300630493946,0.0193957892708062,-0.0904732493392533,-0.338898344736553,0.213831914675774,-0.438125379411661,0.274236256556584,-0.2150671327218
1,2,2,2.06817317241739,1.02838134765625,1.05,1.5,2,902,-0.124578123478664,1.0849641915974,-0.257780872711165,-0.105137231647379,0.877006341568691,3.56960678758513,1.72597093666619,2.89052450039494,0.309776806743834,0.402300630493946,0.0193957892708062,-0.0904732493392533,0.67908228719019,-0.434354930222498,0.682663561103458,-0.277176661981971,-0.0146639823081252
1,2,2,2.06817317241739,1.02838134765625,1.05,1.5,3,1802,0.530299822290559,0.157762448802149,0.0223361946961939,0.139257865690671,-0.262337923671666,2.55034055794131,1.23313685331308,2.89052450039494,0.309776806743834,0.402300630493946,0.0193957892708062,-0.0904732493392533,-0.340183942453637,0.220523015546725,-0.244538181691797,0.00294040542538769,0.229731115029925
1,3,3,3.15512754226943,1.04115295410156,1.06666666666667,1.5,1,3,-0.073985008980524,0.124042653882715,0.213697190724052,-0.0874633809014927,0.00259685889414864,3.53355264073192,1.11993971508052,3.21001890496206,-0.111739330142611,0.0328268397353192,0.0949168426107627,0.16473369947613,0.323533735769861,0.0377543211620866,0.0912158141473963,0.118780348113289,-0.252197080377623
1,3,3,3.15512754226943,1.04115295410156,1.06666666666667,1.5,2,903,-0.531098041476894,0.11474530620841,0.12897283304523,0.0748428129447249,-0.098309747778009,2.81971774254701,0.893693742890292,3.21001890496206,-0.111739330142611,0.0328268397353192,0.0949168426107627,0.16473369947613,-0.390301162415042,-0.419358711334284,0.0819184664730908,0.034055990434467,-0.089890886531405
1,3,3,3.15512754226943,1.04115295410156,1.06666666666667,1.5,3,1803,0.269865060029586,-0.140307440885168,-0.0579194959369936,0.506821666385157,0.0772284990622094,3.27678633160724,1.03855907176744,3.21001890496206,-0.111739330142611,0.0328268397353192,0.0949168426107627,0.16473369947613,0.0667674266451805,0.381604390172197,-0.173134280620487,-0.152836338547756,0.342087966909028
1,4,4,4.27892435387168,1.052978515625,1.08333333333333,1.5,1,4,-0.0614712845466056,0.62224695890305,0.752309476520644,0.23660113556885,-0.549369763666049,5.46739173517612,1.27774909837541,4.45834096522174,0.12396085002016,0.0931661422727975,0.0970135308503925,0.355903794347065,1.00905076995439,-0.185432134566766,0.529080816630253,0.655295945670252,-0.119302658778215
