"i","j","id","sc","bx1","bx2","bx3","year","eventid","x1","x2","x3","x4","error","y","ratio"
1,1,1,1.01685340540722,1.01466369628906,1.03333333333333,1.5,2,901,0.441927931303549,-0.0351030788584735,0.227604700507917,0.101902272109624,-0.262773581973471,1.50762192097838,1.48263448099937
1,2,2,2.06817317241739,1.02838134765625,1.05,1.5,2,902,-0.124578123478664,1.0849641915974,-0.257780872711165,-0.105137231647379,0.877006341568691,3.56960678758513,1.72597093666619
1,3,3,3.15512754226943,1.04115295410156,1.06666666666667,1.5,2,903,-0.531098041476894,0.11474530620841,0.12897283304523,0.0748428129447249,-0.098309747778009,2.81971774254701,0.893693742890292
1,4,4,4.27892435387168,1.052978515625,1.08333333333333,1.5,2,904,0.695893046055957,-0.651575154225163,0.144342755928073,0.705001507308195,-0.0856082402816622,4.43671759040796,1.03687684648912
1,5,5,5.44081238596938,1.06385803222656,1.1,1.5,2,905,0.155748799127902,0.0425183300322907,0.471181302837181,0.472732054922051,-0.421085405003889,5.93896370921864,1.09155826150776
1,6,6,6.6420827448051,1.07379150390625,1.11666666666667,1.5,2,906,1.26062360844844,-0.162016983207557,-0.100697974506862,-0.275363130856188,-1.00689007457074,6.65687366426787,1.00222684962399
1,7,7,7.88407029881404,1.08277893066406,1.13333333333333,1.5,2,907,0.0144609647817811,-0.208044535695796,-0.0511334875072634,1.37914852299837,-0.39536287051126,7.19188141790277,0.912204121135831
1,8,8,9.16815516194857,1.0908203125,1.15,1.5,2,908,0.926516794871913,0.177914865648669,0.410536249758982,0.877946568368126,0.668573262424048,11.6677982342257,1.2726440628592
1,9,9,10.4957642272801,1.09791564941406,1.16666666666667,1.5,2,909,0.781000027001489,0.517369126938457,0.257794504558464,0.474428647098901,0.0607774196502774,12.4043028703673,1.18183894014375
1,10,10,11.8683727525827,1.10406494140625,1.18333333333333,1.5,2,910,0.931118693739158,0.0766021923066459,0.672184877255,0.372658293094848,0.492577962383156,14.4878894644566,1.22071405798271
1,11,11,13.2875059996601,1.10926818847656,1.2,1.5,2,911,0.98461260061811,0.510977185938768,-0.0267084255928255,-0.035524642584505,0.29672898907885,15.2495444093151,1.14766039689504
1,12,12,14.7547409292381,1.113525390625,1.21666666666667,1.5,2,912,0.693224804894391,1.12956160172153,0.212728071333534,0.619118002061749,0.324692694394004,17.5447491010546,1.18909231854338
1,13,13,16.2717079533052,1.11683654785156,1.23333333333333,1.5,2,913,1.34378277690237,1.16226054654354,0.838037847100755,0.460293758092532,-0.0463679115320485,20.4166372041127,1.25473227903931
1,14,14,17.8400927468495,1.11920166015625,1.25,1.5,2,914,0.847380331421248,0.649299918232886,1.27661109751987,0.202904561326912,0.290625989788402,21.8056497544192,1.2222834300158
1,15,15,19.4616381210038,1.12062072753906,1.26666666666667,1.5,2,915,0.0764833436717793,0.707028412615738,1.26955328164464,1.16189883693142,-0.330462454678445,22.016783731669,1.13129139462868
1,16,16,21.1381459596826,1.12109375,1.28333333333333,1.5,2,916,0.60180491584775,1.74130341059922,1.21962133745762,1.08667102668332,-0.552457454458698,25.3244729515555,1.19804608218042
1,17,17,22.8714792218598,1.12062072753906,1.3,1.5,2,917,1.14075158989273,0.488008356224273,1.84550265839317,1.6595644298769,0.67244516829921,28.2249391174472,1.23406705983716
